id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,number_of_reviews_ltm,host_is_superhost,accommodates,bedrooms,beds,review_scores_rating,instant_bookable,log_price
161134,Isolotto Legnaia,43.77278,11.23709,Entire home/apt,162.0,3,0,f,2.0,1.0,1.0,5.0,f,5.087596335232384
174420,Centro Storico,43.77225,11.24849,Entire home/apt,90.0,205,22,t,6.0,2.0,1.0,4.71,f,4.499809670330265
181844,Centro Storico,43.76506,11.24467,Entire home/apt,180.0,33,5,t,2.0,2.0,2.0,4.94,t,5.19295685089021
182984,Centro Storico,43.76554,11.2586,Entire home/apt,103.0,27,8,,3.0,1.0,2.0,4.63,t,4.634728988229636
189586,Campo di Marte,43.77069,11.27713,Entire home/apt,161.0,50,3,f,4.0,1.0,2.0,4.55,t,5.081404364984463
191323,Centro Storico,43.77178,11.26133,Entire home/apt,161.0,76,2,f,4.0,1.0,2.0,4.63,t,5.081404364984463
193675,Centro Storico,43.76778,11.24119,Entire home/apt,71.0,136,28,f,4.0,1.0,1.0,4.26,f,4.2626798770413155
197711,Centro Storico,43.77187347412109,11.261885643005373,Entire home/apt,212.0,98,0,f,3.0,1.0,3.0,4.84,f,5.356586274672012
201931,Rifredi,43.78437938421835,11.253579331814272,Entire home/apt,170.0,60,0,,4.0,1.0,2.0,4.91,f,5.135798437050262
205228,Centro Storico,43.77958,11.24487,Hotel room,93.0,129,35,f,2.0,1.0,1.0,4.73,f,4.532599493153256
209838,Centro Storico,43.77318,11.24431,Entire home/apt,106.0,439,32,t,3.0,1.0,2.0,4.62,f,4.663439094112067
210094,Centro Storico,43.76786,11.25178,Entire home/apt,67.0,47,1,f,2.0,1.0,1.0,4.8,t,4.204692619390966
224562,Centro Storico,43.772,11.26142,Entire home/apt,139.0,111,5,f,4.0,1.0,1.0,4.67,f,4.9344739331306915
224669,Campo di Marte,43.76796,11.2714,Entire home/apt,97.0,94,20,t,4.0,1.0,2.0,4.99,t,4.574710978503383
227059,Centro Storico,43.77022,11.2561,Private room,44.0,551,55,t,2.0,1.0,1.0,4.78,f,3.784189633918261
230853,Campo di Marte,43.77296447753906,11.285463333129885,Private room,67.0,620,40,t,2.0,1.0,2.0,4.85,f,4.204692619390966
238351,Centro Storico,43.769016,11.241931,Entire home/apt,114.0,77,5,,2.0,1.0,1.0,4.8,f,4.736198448394496
248623,Centro Storico,43.7723,11.2616,Entire home/apt,170.0,130,25,t,4.0,2.0,3.0,4.68,f,5.135798437050262
249512,Campo di Marte,43.76736,11.27223,Entire home/apt,964.0,4,0,f,10.0,4.0,6.0,5.0,f,6.871091294610546
250470,Centro Storico,43.78118,11.23266,Entire home/apt,109.0,179,11,t,4.0,1.0,4.0,4.92,f,4.6913478822291435
251811,Centro Storico,43.7733,11.24754,Entire home/apt,157.0,222,3,t,6.0,2.0,6.0,4.79,t,5.056245805348308
255154,Campo di Marte,43.76813583209722,11.280788866715431,Entire home/apt,112.0,229,3,t,4.0,2.0,2.0,4.78,f,4.718498871295094
264971,Campo di Marte,43.76999,11.30511,Private room,980.0,80,0,f,2.0,1.0,1.0,4.8,f,6.887552571664617
270205,Centro Storico,43.77299,11.26279,Entire home/apt,119.0,222,6,t,2.0,1.0,1.0,4.81,f,4.77912349311153
273691,Centro Storico,43.77531,11.25456,Private room,146.0,765,10,,4.0,1.0,2.0,4.82,t,4.983606621708336
279656,Centro Storico,43.764389,11.261067,Entire home/apt,133.0,78,10,t,3.0,1.0,4.0,4.82,f,4.890349128221754
282604,Centro Storico,43.77438,11.2567,Entire home/apt,183.0,49,13,f,7.0,2.0,8.0,4.09,t,5.209486152841421
295935,Campo di Marte,43.76908,11.28026,Private room,64.0,102,0,f,2.0,1.0,1.0,4.54,f,4.1588830833596715
296113,Centro Storico,43.7681,11.2564,Entire home/apt,182.0,401,64,t,4.0,1.0,2.0,4.86,t,5.204006687076795
297891,Centro Storico,43.7689,11.24409,Entire home/apt,90.0,56,8,f,3.0,1.0,1.0,4.66,t,4.499809670330265
298143,Centro Storico,43.77203,11.25575,Entire home/apt,160.0,572,19,t,2.0,1.0,1.0,4.78,t,5.075173815233827
336259,Centro Storico,43.7686,11.25324,Entire home/apt,234.0,187,30,t,4.0,2.0,3.0,4.84,f,5.455321115357702
336260,Centro Storico,43.76752,11.25266,Entire home/apt,205.0,162,23,t,4.0,2.0,2.0,4.93,f,5.3230099791384085
339138,Campo di Marte,43.77893,11.26936,Private room,60.0,22,1,f,1.0,1.0,1.0,4.86,f,4.0943445622221
341907,Centro Storico,43.76957,11.26455,Entire home/apt,61.0,229,0,f,4.0,2.0,3.0,4.89,t,4.110873864173311
343773,Centro Storico,43.77211,11.26442,Entire home/apt,199.0,531,40,t,4.0,1.0,2.0,4.97,f,5.293304824724492
345815,Campo di Marte,43.81893,11.28034,Entire home/apt,135.0,1,0,f,6.0,3.0,3.0,5.0,f,4.90527477843843
346237,Campo di Marte,43.77133,11.31963,Entire home/apt,141.0,42,14,f,4.0,2.0,3.0,4.74,t,4.948759890378168
346238,Campo di Marte,43.77119,11.31819,Entire home/apt,125.0,31,1,f,2.0,1.0,1.0,4.61,t,4.8283137373023015
346239,Campo di Marte,43.77149,11.31847,Entire home/apt,118.0,40,2,f,4.0,1.0,2.0,4.78,t,4.770684624465665
347062,Isolotto Legnaia,43.77217,11.23438,Entire home/apt,302.0,19,4,f,10.0,3.0,7.0,4.84,t,5.71042701737487
351439,Centro Storico,43.76779,11.25987,Entire home/apt,180.0,275,29,t,4.0,1.0,1.0,4.92,f,5.19295685089021
354097,Centro Storico,43.76196,11.24245,Entire home/apt,150.0,184,2,f,4.0,2.0,2.0,4.87,t,5.0106352940962555
354112,Centro Storico,43.76196,11.24245,Entire home/apt,171.0,81,1,f,4.0,2.0,2.0,4.9,t,5.14166355650266
359054,Centro Storico,43.76196,11.24245,Entire home/apt,144.0,96,0,f,4.0,1.0,2.0,4.87,t,4.969813299576001
359058,Centro Storico,43.76196,11.24245,Entire home/apt,176.0,62,0,f,5.0,2.0,3.0,4.92,t,5.170483995038151
367374,Centro Storico,43.76196,11.24245,Entire home/apt,212.0,93,0,f,4.0,2.0,3.0,4.84,t,5.356586274672012
367427,Centro Storico,43.76196,11.24245,Entire home/apt,122.0,79,0,f,4.0,1.0,3.0,4.9,t,4.804021044733257
367487,Centro Storico,43.76856,11.26299,Entire home/apt,105.0,68,11,t,2.0,1.0,1.0,4.79,f,4.653960350157523
369523,Gavinana Galluzzo,43.76399,11.27084,Entire home/apt,59.0,81,19,f,2.0,1.0,1.0,4.59,f,4.07753744390572
372687,Centro Storico,43.76976,11.26376,Entire home/apt,335.0,10,0,f,6.0,2.0,3.0,4.2,t,5.814130531825066
378542,Campo di Marte,43.77224696926287,11.271576560871932,Entire home/apt,68.0,296,5,t,2.0,2.0,2.0,4.84,f,4.219507705176107
379760,Campo di Marte,43.78391,11.28177,Entire home/apt,162.0,113,5,t,4.0,1.0,2.0,4.8,f,5.087596335232384
384095,Centro Storico,43.77516,11.2525,Private room,85.0,102,1,f,2.0,1.0,1.0,4.1,t,4.442651256490317
393927,Campo di Marte,43.77696,11.30987,Entire home/apt,180.0,35,3,f,4.0,2.0,3.0,4.8,t,5.19295685089021
393928,Campo di Marte,43.7788,11.31186,Entire home/apt,180.0,111,4,f,2.0,1.0,1.0,4.84,f,5.19295685089021
